"last_value","estimated_value","difference","orderbook_diff"
0.07119,0.0712195709748343,-2.95709748343448e-05,-296875
0.07117,0.0711669240397633,3.07596023671475e-06,-282102
0.07116,0.0711676692267507,-7.66922675071724e-06,-307085
0.07113,0.0711506561510146,-2.06561510145836e-05,-359325
0.07102,0.0710435136813793,-2.3513681379303e-05,-348914
0.07095,0.0710103622201648,-6.03622201648252e-05,-339187
0.07092,0.070960505314324,-4.05053143240214e-05,-328459
0.07108,0.0709820519979713,9.79480020287388e-05,-222700
0.071,0.0710166406764925,-1.66406764924854e-05,-304474
0.071,0.0710028687148603,-2.86871486031293e-06,-279937
0.0707,0.0707791228003014,-7.91228003013816e-05,-365260
0.07075,0.0707163793103448,3.36206896551783e-05,-350681
0.07075,0.0707313746575473,1.86253424527133e-05,-339701
0.07083,0.0707816147554792,4.83852445208183e-05,-261323
0.07097,0.0708799913371971,9.00086628029123e-05,-171875
0.071,0.0709755045575873,2.4495442412717e-05,-252158
0.07106,0.0710570015606747,2.99843932534405e-06,-211986
0.07109,0.071052,3.80000000000241e-05,-184899
0.07109,0.071067903830219,2.20961697810218e-05,-184300
0.07109,0.0710671702038402,2.28297961598345e-05,-201344
0.07107,0.0710702835499594,-2.83549959442797e-07,-208931
0.07108,0.0710700200153374,9.97998466262251e-06,-225690
0.07108,0.0710698791284086,1.01208715914264e-05,-185281
0.0711,0.0710772327187258,2.2767281274233e-05,-186755
0.0711,0.0710807990706605,1.92009293395051e-05,-164302
0.07112,0.0710999228601781,2.00771398219113e-05,-149905
0.07108,0.0711752230082243,-9.52230082243433e-05,-160051
0.07108,0.0710825183059781,-2.51830597808311e-06,-199999
0.07108,0.07107644310296,3.55689704002737e-06,-213442
0.07116,0.0711304722153387,2.95277846612679e-05,-198275
0.071115,0.0711562585317614,-4.12585317613734e-05,-252799
0.07117,0.0711167585317614,5.32414682386101e-05,-123464
0.07113,0.0711626180435775,-3.26180435775147e-05,-202617
0.07112,0.0711186666599432,1.33334005678054e-06,-113543
0.07111,0.071121,-1.09999999999971e-05,-219191
0.07107,0.0710217316204541,4.82683795458988e-05,-212127
