"last_value","orderbook_diff","estimated_value","difference"
0.3438,-93014.4,0.343809255710951,-9.2557109506175e-06
0.3439,-71251.3,0.343900160600433,-1.60600432674851e-07
0.3433,-69549,0.34370354286195,-0.00040354286195049
0.3436,-83429.2,0.343118049270348,0.000481950729652514
0.3429,-98429.5,0.343013897391862,-0.00011389739186235
0.3429,-102104.2,0.342862158772153,3.78412278465023e-05
0.3428,-110402.6,0.342871760997065,-7.1760997065462e-05
0.3426,-125975.1,0.342761760999279,-0.000161760999279337
0.3427,-120879.9,0.342621760999522,7.82390004783196e-05
0.3429,-127079.8,0.342786399636226,0.000113600363774391
0.3427,-119990.2,0.342661929202158,3.80707978421269e-05
0.3429,-111985.1,0.342748997512435,0.000151002487565388
0.3428,-92772.9,0.342884139455825,-8.41394558245279e-05
0.3424,-86110.7,0.342636650692392,-0.000236650692391593
0.3424,-80764.7,0.342422201881039,-2.2201881039019e-05
0.3424,-71752.5,0.342422201881039,-2.2201881039019e-05
0.3421,-101372,0.34234,-0.000240000000000018
0.3422,-105166.9,0.342150043028637,4.99569713627857e-05
0.342,-94482.1,0.342190491652342,-0.000190491652341529
0.3413,-86086.8,0.341519999713589,-0.000219999713589436
0.3413,-90403.2,0.341479999713589,-0.000179999713589396
0.3413,-81975.3,0.341479999713589,-0.000179999713589396
0.3415,-89224.7,0.341406923315371,9.30766846294895e-05
0.342,-63108.8,0.341308908889466,0.00069109111053417
0.342,-51573.1,0.341428908889466,0.000571091110534161
0.342,-32968.7,0.341438908889466,0.000561091110534151
0.3417,-84840.4,0.342110219439334,-0.000410219439333503
0.3412,-84262.6,0.341229843418359,-2.98434183593765e-05
0.3412,-150655.6,0.34122055110272,-2.05511027198679e-05
0.3415,-62902.1,0.34130251846756,0.000197481532439758
0.3415,-86356,0.341362580959789,0.000137419040210585
0.3415,-103377.3,0.341316616582652,0.000183383417348026
0.341,-74768.8,0.341451569310594,-0.000451569310594091
0.3405,-102184.8,0.341026542234655,-0.000526542234654703
0.3409,-74727.6,0.341242364192229,-0.000342364192228939
0.3402,-123220,0.34078,-0.000579999999999914
0.3399,-135702.4,0.340290008035735,-0.000390008035734912
0.34,-129271.1,0.340070607012627,-7.06070126267888e-05
0.34,-134102.1,0.339970703887321,2.92961126794333e-05
0.33995,-132434.1,0.33991465958581,3.53404141898439e-05
0.34,-138992.1,0.339984414094007,1.5585905993265e-05
0.34,-167175.6,0.339975103749181,2.48962508192507e-05
0.3402,-138448.2,0.339974444444444,0.00022555555555559
0.3402,-128813.9,0.340026666666665,0.00017333333333458
0.3402,-144010.9,0.34043657053294,-0.000236570532940295
0.3399,-167179.1,0.340157423306932,-0.000257423306932403
0.3397,-180655.7,0.339680344790366,1.96552096342062e-05
0.3396,-199242,0.339779982628193,-0.000179982628192521
0.3394,-197933.5,0.339520190213513,-0.000120190213512616
0.339,-213162.7,0.339420000167966,-0.000420000167966117
0.3395,-189092.3,0.339160000000003,0.000339999999997231
0.34,-141890.1,0.339589999786819,0.000410000213181105
0.3399,-145615.8,0.339910001353564,-1.00013535644927e-05
0.3399,-146376.6,0.339860256015116,3.97439848843772e-05
0.34,-159831.5,0.340036193059999,-3.61930599991345e-05
0.3397,-192043.6,0.340128597046429,-0.000428597046429169
0.3397,-178954.8,0.340048597046429,-0.000348597046429144
0.3399,-204941.5,0.339890350236831,9.6497631693615e-06
0.3397,-203790.2,0.33972,-2.00000000000755e-05
0.3398,-200090.2,0.33972,8.00000000000245e-05
0.3396,-200076.2,0.33951034100053,8.96589994703323e-05
0.3398,-193864.6,0.339708656157784,9.13438422155965e-05
0.3395,-211352.6,0.339509839387193,-9.83938719339994e-06
0.3398,-197185.4,0.339773068092958,2.69319070421714e-05
0.3397,-201043.7,0.339743531194179,-4.35311941794359e-05
0.3398,-196104.4,0.339689998044204,0.000110001955796357
0.33985,-164957.2,0.33980059896838,4.94010316196003e-05
0.34,-162319.2,0.339837227516616,0.00016277248338431
0.3398,-174447.3,0.339992766365784,-0.000192766365783748
0.3399,-194592.5,0.339821586541478,7.84134585223306e-05
0.3395,-200763.6,0.339720934000117,-0.000220934000116524
0.339,-195753.8,0.339776266122913,-0.000776266122913372
0.3397,-143112.6,0.339169117868249,0.000530882131750787
0.34,-129042.8,0.339901060717403,9.8939282597299e-05
0.3398,-151781.9,0.339791987090473,8.01290952651135e-06
