"last_value","estimated_value","difference","orderbook_diff"
25524.7257142857,25531.8401686884,-7.11445440266471,-20.40758
25516.7366666667,25523.0968615541,-6.36019488747479,-24.88828
25511.87,25513.1765880858,-1.3065880858303,-17.44251
25520.48,25515.3200537216,5.15994627836335,-15.24235
25501.63,25511.0371724075,-9.40717240751474,-18.53705
25515.6525,25508.6710518208,6.98144817921639,-11.56126
25508.7868,25518.1331698472,-9.34636984716781,-15.29622
25505.575,25509.3953480352,-3.82034803523493,-15.38569
25513.29,25510.464284525,2.82571547497719,-15.50997
25520.98,25521.450657323,-0.470657322985062,-15.52374
25523.79,25519.5767862735,4.21321372647071,-15.27594
25508.62,25524.3445155712,-15.7245155712153,-14.38458
25517.16,25518.7200499235,-1.56004992345333,-15.28583
25533.23,25523.4441227056,9.78587729444189,-13.54197
25534.655,25529.8984269095,4.75657309052258,-2.78392
25547.82,25544.8741576276,2.94584237239178,-11.10297
25574.181,25581.8612870787,-7.68028707869234,-14.75054
25577.12,25566.2391277293,10.8808722706526,-15.79104
25587.9,25578.4051781184,9.49482188161346,-14.4682
25581.13,25580.019577593,1.11042240695315,-9.43948
25643.435,25601.2168733112,42.2181266888001,-12.89698
25658,25660.2389175723,-2.23891757231831,-26.13704
25663.685,25642.4795950973,21.2054049026592,-12.00279
25639.5,25638.8177402457,0.682259754325059,-12.79547
25637.7485714286,25614.2166201245,23.5319513040231,-17.67998
25645.7,25628.1490233724,17.5509766275827,-12.3911
25628.834,25633.072379658,-4.2383796580034,-10.95651
25620.095,25616.6087609519,3.48623904809938,-11.03414
25579.0014285714,25584.7238854471,-5.7224568756501,-6.24788
25561.17,25556.2976528873,4.87234711267956,-7.09459
25541.35,25540.1568543733,1.19314562671207,-10.82233
25542.98,25549.7585130637,-6.77851306369848,-7.96255
25547.92,25546.0249518878,1.89504811223378,-10.22681
25552.86,25532.7881817759,20.0718182240744,-5.87258
25564.57,25564.4650954112,0.104904588828504,-5.36279
25556.71,25570.6546271032,-13.9446271032248,-3.72526
25539.44,25542.7634123365,-3.32341233652915,-9.97893
25546.13,25543.3511922296,2.77880777039172,-2.75332
25532.0783333333,25548.0525859961,-15.9742526627306,-6.8969
25545.78,25549.6988150267,-3.91881502668548,-10.56779
25546.03,25545.9689326656,0.0610673344162933,-11.44967
25548.1166666667,25541.0089800413,7.10768662541523,-12.11617
25550.55,25540.9492406316,9.60075936838984,-14.42404
25529.6,25549.4366581405,-19.8366581404953,-13.19896
25539.31,25529.5047008909,9.80529910912082,-13.14538
25519.98,25531.6872892048,-11.7072892047727,-12.72746
25533.2975,25534.1449100664,-0.847410066358862,-11.9198
25521.51,25532.6028296754,-11.0928296754209,-18.12303
25503.435,25524.1828320191,-20.7478320190712,-10.11579
25520.9022222222,25515.3791809959,5.52304122632268,-27.68692
25509.14,25523.6396936932,-14.4996936931529,-8.68913
25505.01,25517.0008972951,-11.9908972950798,2.75249
25501.61,25516.8724812602,-15.2624812602407,-8.03421
25497.48,25514.5911731936,-17.1111731935816,-7.88891
25464.7133333333,25481.4976952809,-16.7843619475461,-9.25049
25469.29,25473.3580373831,-4.06803738308372,-12.73935
25486.9266666667,25477.9894388376,8.93722782906843,-13.50264
25465.77,25482.628906531,-16.8589065310407,-10.20089
25466.1,25479.2476039201,-13.1476039201261,-5.40612
25483.6233333333,25480.9990535942,2.62427973914964,0.289100000000001
25450.6133333333,25477.2237695656,-26.6104362322621,-7.89365
25447.4783333333,25461.0673054788,-13.5889721454332,-3.79065
25477.14,25471.2655227716,5.87447722843353,-8.56294
25452.85,25476.5524598995,-23.7024598995413,-4.77436
25448.91,25451.2017050052,-2.29170500516921,-9.39861000000001
25444.33,25453.0891612579,-8.75916125790536,-8.37922
25441.52,25442.5046765782,-0.984676578187646,-2.95186
25358.5133333333,25374.9100802831,-16.396746949802,-3.0908
25354.415,25370.2606222705,-15.845622270459,-6.64506
25371.55,25372.079187922,-0.529187922002166,-8.00554
25392.31,25382.8670072103,9.44299278970357,-12.81857
25381.9233333333,25387.2483806225,-5.32504728911954,-7.25947
25370.305,25379.1826188032,-8.87761880319158,-9.6032
25361.34,25363.8817470449,-2.54174704485558,-11.39279
25368.445,25373.8052912579,-5.36029125792993,-9.72815
25341.105,25363.4841521629,-22.3791521628846,-10.10395
25324.97,25338.5594521592,-13.5894521592345,-16.70958
25383.1933333333,25375.3316321059,7.86170122748081,-15.58217
25375.73,25386.9508200499,-11.2208200499263,-8.32676
25344.52,25375.6887709306,-31.1687709306025,-12.40606
25389.53,25391.9532573644,-2.42325736441126,-0.818290000000001
25393.3,25393.7456216535,-0.44562165354364,-18.38604
25386.4233333333,25384.8071244373,1.61620889604819,-24.65394
25384,25361.9626754763,22.037324523717,-17.96067
25307.9,25318.0252594981,-10.1252594980542,-2.39058
25308.4383333333,25326.3202778109,-17.8819444775545,-1.75583
25334.5,25318.8980960734,15.6019039266284,-2.12174
